Text,language
Hundreds test positive to coronavirus at 'superspreader' Kumbh Mela festival in India  https://t.co/FFkQc4QAXc,en
At least 30 sadhus have tested positive for the coronavirus disease and one has died during the ongoing Kumbh Mela in Uttarakhand (India)  https://t.co/8B5U8NS4hA,en
At least 30 sadhus have tested positive for the coronavirus disease and one has died during the ongoing Kumbh Mela in Uttarakhand #Covid_19 #khumbmela  https://t.co/rbCIilycrp,en
At least 30 sadhus have tested positive for the coronavirus disease and one has died during the ongoing Kumbh Mela in Uttarakhand   https://t.co/EO3wrJr4Le,en
few thousand Tablighi were stuck having no idea of Corona pandemic but now millions attending kumbh mela in amid pandemic where is hypocrite Godi media..? #GodiMedia  #COVID19 #SecondCOVIDWave  #CoronaPandemic  #Corona #coronavirus,en
"In un momento in cui la pandemia coronavirus si sta nuovamente diffondendo rapidamente in tutto il paese, eventi come il Kumbh Mela festival, a dispetto della colorata allegria dei raduni, sono benzina sul fuoco. Si parla di uno tsunami pandemico (oltre 1,5milioni di infetti).  https://t.co/h8O3KidfeC",it
"Shopkeepers selling without mask will land in jail.  Whereas our home minister doing political rallies without mask??  Jamaaties were the reason to spread coronavirus.   Kumbh Mela in Haridwar and Pidakala war in Andhra attracting so much of devotees, mass gathering??   BJP🔥",en
#COVID19 Uttarakhand #Coronavirus  Top Hindu seer at Haridwar Kumbh Mela dies of COVID-19   https://t.co/7BF7CeUiYn,hi
The Kumbh mela might get called off by the Uttarakhand state government. This follows the rising cases of COVID-19 in the state along with wildly spreading infections of coronavirus among the citizens. #KumbhMela #Uttarakhand  https://t.co/vPyAu6gKvG via @utkaltoday,en
Secular @indiatvnews and @RajatSharmaLive Apne TV program mein kuchh bhi dikha dete Hain je log Kumbh Mela ko bhi coronavirus ka adda Mana rahe hain dhan hai Ji TV channel jo mullon ke aage apna Jamir bhech chuke hain @RajatSharmaLive,hi
"Kumbh Mela: Top seer dies of Covid-19, several others infected | Indiablooms - First Portal on Digital News Management  https://t.co/jiLpJHTsmN #KumbhMela , #KumbhMela2021 , #Covid19, #Coronavirus, #CovidDeaths",en
Seriously? So it's only Muslims who spread Coronavirus? Tell me Kumbh Mela too can't be linked to spike in Covid cases.  This party is shamelessly unbelievable.   https://t.co/KH2ONoabh0,en
Hundreds test positive to coronavirus at 'superspreader' Kumbh Mela festival in India | ABC News - ABC News (Australia)  https://t.co/g7qrQsOg6y via @GoogleNews,en
Hundreds test positive to coronavirus at 'superspreader' Kumbh Mela festival in India  https://t.co/pWnWkmOQ2a,en
"‘Super-spreader’: Over 1,000 COVID positive at India’s Kumbh Mela | Coronavirus pandemic News | Al Jazeera  https://t.co/YyBF9ospMP",en
"Following the death of Nirwani akhada's Mahamandaleshwar Kapil Dev Das, who died at the age of 65 due to COVID-19 on April 13, Niranjani akhada announced to exit the Haridwar Kumbh Mela, from April 17. #niranjaniakhada #kumbhmela2021 #COVID19 #coronavirus #haridwar #KAPILDASDEV  https://t.co/003uJXOrFE",en
